"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"22519","Sioux Falls","Medical Doctor",15500,2017-01-27,"2017",3,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"22569","SIOUX FALLS","Medical Doctor",2340,2017-01-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22585","SIOUX FALLS","Medical Doctor",1500,2017-01-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22656","RAPID CITY","Doctor of Osteopathy",1375,2017-01-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22756","SIOUX FALLS","Medical Doctor",1800,2017-01-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22804","SIOUX FALLS","Medical Doctor",3500,2017-01-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"22807","SIOUX FALLS","Medical Doctor",2000,2017-01-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"22827","SIOUX FALLS","Medical Doctor",1400,2017-02-01,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"22846","WATERTOWN","Medical Doctor",3750,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22853","SIOUX FALLS","Medical Doctor",3750,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22875","SIOUX FALLS","Medical Doctor",3000,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"22876","SIOUX FALLS","Medical Doctor",1800,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22880","WATERTOWN","Medical Doctor",3750,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22883","SIOUX FALLS","Medical Doctor",2000,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"22889","SIOUX FALLS","Medical Doctor",1650,2017-02-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22902","SIOUX FALLS","Medical Doctor",1300,2017-02-01,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"22908","SIOUX FALLS","Medical Doctor",2100,2017-02-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22916","SIOUX FALLS","Medical Doctor",3250,2017-02-02,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"22945","SIOUX FALLS","Medical Doctor",1200,2017-02-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"22953","SIOUX FALLS","Medical Doctor",3250,2017-02-02,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"22969","SIOUX FALLS","Medical Doctor",1629.8,2017-02-02,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"22998","RAPID CITY","Medical Doctor",1000,2017-02-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23040","SIOUX FALLS","Medical Doctor",2800,2017-02-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23041","SIOUX FALLS","Medical Doctor",6778.77,2017-02-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23043","Sioux Falls","Doctor of Osteopathy",1004.21,2017-02-06,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"23052","SIOUX FALLS","Medical Doctor",1434,2017-02-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23116","SIOUX FALLS","Medical Doctor",1121.8,2017-02-07,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"23126","JEFFERSON","Doctor of Dentistry",1000,2017-02-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23185","SIOUX FALLS","Medical Doctor",3500,2017-02-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23214","SIOUX FALLS","Medical Doctor",2000,2017-02-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23227","SIOUX FALLS","Medical Doctor",2000,2017-02-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23246","SIOUX FALLS","Medical Doctor",5000,2017-02-08,"2017",1,"Cash or cash equivalent","Education","No Third Party Payment"
"23263","SIOUX FALLS","Medical Doctor",1200,2017-02-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23288","SIOUX FALLS","Medical Doctor",2100,2017-02-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23290","SIOUX FALLS","Medical Doctor",3000,2017-02-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23299","SIOUX FALLS","Medical Doctor",2000,2017-02-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23315","RAPID CITY","Medical Doctor",3299.73,2017-02-09,"2017",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"23338","SIOUX FALLS","Medical Doctor",3000,2017-02-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"23340","SIOUX FALLS","Medical Doctor",1023.22,2017-02-09,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"23345","SIOUX FALLS","Medical Doctor",1537,2017-02-10,"2017",1,"Cash or cash equivalent","Grant","Entity"
"23415","DAKOTA DUNES","Medical Doctor",1185,2017-02-11,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"23448","DAKOTA DUNES","Medical Doctor",1485,2017-02-13,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"23457","SIOUX FALLS","Medical Doctor",5280,2017-02-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23478","DAKOTA DUNES","Medical Doctor",1485,2017-02-13,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"23497","RAPID CITY","Doctor of Osteopathy",1375,2017-02-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23508","SIOUX FALLS","Medical Doctor",4360,2017-02-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23512","Sioux Falls","",1000,2017-02-13,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"23571","WATERTOWN","Medical Doctor",3750,2017-02-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23576","SIOUX FALLS","Medical Doctor",1800,2017-02-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23578","SIOUX FALLS","Medical Doctor",11718,2017-02-14,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23642","SIOUX FALLS","Medical Doctor",1650,2017-02-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23665","SIOUX FALLS","Medical Doctor",2500,2017-02-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23750","Sioux Falls","Medical Doctor",1500,2017-02-16,"2017",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"23763","Watertown","Medical Doctor",2000,2017-02-16,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23795","SIOUX FALLS","Medical Doctor",1800,2017-02-16,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23801","SIOUX FALLS","Medical Doctor",1500,2017-02-16,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23814","Watertown","Medical Doctor",2500,2017-02-16,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23828","WATERTOWN","Medical Doctor",1450.6,2017-02-17,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"23841","SIOUX FALLS","Medical Doctor",2750,2017-02-17,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23895","SIOUX FALLS","Medical Doctor",2925,2017-02-20,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23921","SIOUX FALLS","Medical Doctor",1800,2017-02-20,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23958","SIOUX FALLS","Medical Doctor",1434,2017-02-21,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"23965","SIOUX FALLS","Medical Doctor",1200,2017-02-21,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"23998","SIOUX FALLS","Medical Doctor",2100,2017-02-21,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24004","SIOUX FALLS","Medical Doctor",1971.75,2017-02-21,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24056","Sioux Falls","",1000,2017-02-22,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"24088","SIOUX FALLS","Medical Doctor",2100,2017-02-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24100","SIOUX FALLS","Medical Doctor",2150,2017-02-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24126","SIOUX FALLS","Medical Doctor",4620,2017-02-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24137","SIOUX FALLS","Medical Doctor",2100,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24162","SIOUX FALLS","Medical Doctor",3000,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24163","DAKOTA DUNES","Medical Doctor",3000,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24172","SIOUX FALLS","Medical Doctor",2150,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24173","Sioux Falls","Medical Doctor",2700,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24198","SIOUX FALLS","Medical Doctor",2048.01,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24207","SIOUX FALLS","Medical Doctor",1600,2017-02-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24213","SIOUX FALLS","Medical Doctor",4000,2017-02-23,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24233","RAPID CITY","Medical Doctor",96613.46,2017-02-24,"2017",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"24243","SIOUX FALLS","Medical Doctor",4073.14,2017-02-24,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24265","SIOUX FALLS","Medical Doctor",1500,2017-02-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24355","SIOUX FALLS","Medical Doctor",1170,2017-02-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24356","SIOUX FALLS","Medical Doctor",2050,2017-02-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24382","SIOUX FALLS","Medical Doctor",2500,2017-02-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24410","SIOUX FALLS","Medical Doctor",1792.5,2017-02-28,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24430","SIOUX FALLS","Medical Doctor",8375,2017-02-28,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24433","SIOUX FALLS","Medical Doctor",2000,2017-02-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24442","SIOUX FALLS","Medical Doctor",1979.75,2017-02-28,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"24443","SIOUX FALLS","Medical Doctor",2800,2017-02-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24463","SIOUX FALLS","Medical Doctor",3000,2017-02-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24464","SIOUX FALLS","Medical Doctor",1155,2017-02-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24472","SIOUX FALLS","Medical Doctor",1079.6,2017-02-28,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"24496","SIOUX FALL","Medical Doctor",4000,2017-03-01,"2017",1,"Cash or cash equivalent","Education","No Third Party Payment"
"24511","RAPID CITY","Medical Doctor",3000,2017-03-01,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"24512","SIOUX FALLS","Medical Doctor",1830,2017-03-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24518","SIOUX FALLS","Medical Doctor",2000,2017-03-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24557","SIOUX FALLS","Medical Doctor",5490,2017-03-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24563","SIOUX FALLS","Medical Doctor",3500,2017-03-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24567","SIOUX FALLS","Medical Doctor",2000,2017-03-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24578","SIOUX FALL","Medical Doctor",4000,2017-03-01,"2017",1,"Cash or cash equivalent","Education","No Third Party Payment"
"24600","SIOUX FALLS","Medical Doctor",1200,2017-03-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24622","SIOUX FALLS","Medical Doctor",3000,2017-03-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24631","SIOUX FALLS","Medical Doctor",2100,2017-03-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24635","JEFFERSON","Doctor of Dentistry",1500,2017-03-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24646","SIOUX FALLS","Medical Doctor",3125,2017-03-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24832","SIOUX FALLS","Medical Doctor",2100,2017-03-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"24858","SIOUX FALLS","Medical Doctor",2000,2017-03-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24874","DAKOTA DUNES","Medical Doctor",1872,2017-03-07,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"24902","SIOUX FALLS","Medical Doctor",3750,2017-03-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24913","SIOUX FALLS","Medical Doctor",3500,2017-03-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24938","WATERTOWN","Medical Doctor",1313.28,2017-03-07,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"24942","SIOUX FALLS","Medical Doctor",2000,2017-03-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24944","SIOUX FALLS","Medical Doctor",1500,2017-03-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24961","SIOUX FALLS","Medical Doctor",3000,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24979","SIOUX FALLS","Medical Doctor",5490,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24985","SIOUX FALLS","Medical Doctor",2100,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"24991","SIOUX FALLS","Medical Doctor",2000,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"24995","SIOUX FALLS","Medical Doctor",1500,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25000","SIOUX FALLS","Medical Doctor",1500,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25001","SIOUX FALLS","Medical Doctor",2500,2017-03-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25043","SIOUX FALLS","Medical Doctor",2800,2017-03-08,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25052","DAKOTA DUNES","Medical Doctor",2500,2017-03-08,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25139","WATERTOWN","Medical Doctor",1178.15,2017-03-09,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25184","SIOUX FALLS","Medical Doctor",2000,2017-03-10,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25240","WATERTOWN","Medical Doctor",2000,2017-03-10,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25246","SIOUX FALLS","Medical Doctor",3000,2017-03-11,"2017",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"25249","SIOUX FALLS","Medical Doctor",1162.14,2017-03-11,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"25250","WATERTOWN","Medical Doctor",1289.27,2017-03-11,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25252","SIOUX FALLS","Medical Doctor",3000,2017-03-11,"2017",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","Entity"
"25254","RAPID CITY","Medical Doctor",10277.91,2017-03-12,"2017",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"25274","Sioux Falls","Medical Doctor",2960,2017-03-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25285","Rapid City","Medical Doctor",1101.7,2017-03-13,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25305","SIOUX FALL","Medical Doctor",4000,2017-03-13,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"25327","Sioux Falls","Medical Doctor",2960,2017-03-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25450","Sioux Falls","Medical Doctor",3700,2017-03-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25458","SIOUX FALLS","Medical Doctor",1500,2017-03-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25499","SIOUX FALLS","Medical Doctor",1990.49,2017-03-15,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25505","Dakota Dunes","Medical Doctor",5500,2017-03-15,"2017",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"25509","SIOUX FALLS","Medical Doctor",1500,2017-03-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25513","WATERTOWN","Medical Doctor",1218.16,2017-03-15,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25518","SIOUX FALLS","Medical Doctor",1500,2017-03-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25566","SIOUX FALL","Medical Doctor",4000,2017-03-16,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"25605","WATERTOWN","Medical Doctor",1500,2017-03-17,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25611","WATERTOWN","Medical Doctor",3750,2017-03-17,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25643","SIOUX FALLS","Medical Doctor",6600,2017-03-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25676","Sioux Falls","Medical Doctor",1750,2017-03-20,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"25705","SIOUX FALLS","Medical Doctor",7000,2017-03-20,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25707","SIOUX FALLS","Medical Doctor",15275,2017-03-20,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25730","SIOUX FALLS","Medical Doctor",1175.6,2017-03-21,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25826","SIOUX FALLS","Medical Doctor",1500,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25829","SIOUX FALLS","Medical Doctor",5490,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25836","SIOUX FALLS","Medical Doctor",1500,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25847","SIOUX FALLS","Medical Doctor",2400,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25849","WATERTOWN","Medical Doctor",3750,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25853","SIOUX FALLS","Doctor of Dentistry",8106.41,2017-03-22,"2017",2,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"25878","SIOUX FALLS","Medical Doctor",1500,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"25907","SIOUX FALLS","Medical Doctor",1830.8,2017-03-22,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"25924","SIOUX FALLS","Medical Doctor",3500,2017-03-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"25932","Sioux Falls","Medical Doctor",5150,2017-03-23,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"25977","SIOUX FALLS","Medical Doctor",6600,2017-03-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26063","SIOUX FALLS","Medical Doctor",3000,2017-03-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"26177","SIOUX FALLS","Medical Doctor",1613.25,2017-03-27,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"26195","SIOUX FALLS","Medical Doctor",1075.5,2017-03-27,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"26205","SIOUX FALLS","Medical Doctor",3750,2017-03-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
